Resort,Count,Room Code,Room Name,Total Rooms,Bed Type,"Min
Occupancy","Max
Occupancy","Max
Adults","Kids
Max",Treatment
Royalton Hideaway Blue Waters,8,LPOZ1D,Luxury Presidential Jacuzzi Ocean View One Bedroom Suite Diamond Club,12,1 King + 1 Sofa Bed,1,3,3,N/A,Diamond Club
Royalton Hideaway Blue Waters,9,LPOZD2,Luxury Presidential Jacuzzi Ocean View Two Bedroom Suite Diamond Club,Virtual,1 King + 2 Queen + 1 Sofa Bed,1,7,7,N/A,Diamond Club
Royalton Hideaway Blue Waters,10,LPUY1D,Luxury Presidential Jacuzzi Swim Out Pool View One Bedroom Suite Diamond Club,4,1 King + 1 Sofa Bed,1,3,3,N/A,Diamond Club
Royalton Hideaway Blue Waters,11,LPUY2D,Luxury Presidential Jacuzzi Swim Out Pool View Two Bedroom Suite Diamond Club,Virtual,1 King + 2 Queen + 1 Sofa Bed,1,5,5,N/A,Diamond Club
Royalton Hideaway Blue Waters,12,CMFW1D,Chairman Beach Walkout Swim Out Suite Diamond Club,1,1 King,1,3,3,N/A,Diamond Club
Royalton Hideaway Saint Lucia,1,LXUUJ,Luxury Junior Suite (1 Handicap),36,1 King / 2 Queen,1,4,4,N/A,
Royalton Hideaway Saint Lucia,2,LXUUJD,Luxury Junior Suite Dc (1 Handicap),10,1 King / 2 Queen,1,4,4,N/A,Diamond Club
Royalton Hideaway Saint Lucia,3,LXOUJ,Luxury Junior Suite Ocean View (1 Handicap),48,1 King / 2 Queen,1,4,4,N/A,
Royalton Hideaway Saint Lucia,4,LXOUJD,Luxury Junior Suite Ocean View Dc,26,1 King / 2 Queen,1,4,4,N/A,Diamond Club
Royalton Hideaway Saint Lucia,5,LXUWJ,Luxury Junior Suite Swim Out,24,1 King / 2 Queen,1,4,4,N/A,
Royalton Hideaway Saint Lucia,6,LXUWJD,Luxury Junior Suite Swim Out Dc,10,1 King / 2 Queen,1,4,4,N/A,Diamond Club
Royalton Hideaway Saint Lucia,7,LPOU1,Luxury Presidential One Bedroom Ocean View,8,1 King + 1 Sofa,1,3,3,N/A,
Royalton Hideaway Saint Lucia,8,LPOU1D,Luxury Presidential One Bedroom Ocean View Dc,2,1 King + 1 Sofa,1,3,3,N/A,Diamond Club
Royalton Hideaway Saint Lucia,9,PHOJ1D,Luxury Penthouse One Bedroom Suite Ocean View Terrace Jacuzzi Dc,2,1 King + 1 Sofa,1,3,3,N/A,Diamond Club
Royalton Saint Lucia,1,LXUUJ,Luxury Junior Suite,28,1 King + Sofa / 2 Queen + Sofa,1,4,4,3,
Royalton Saint Lucia,2,LXOUJ,Luxury Junior Suite Ocean View (1 Handicap),102,1 King + Sofa / 2 Queen + Sofa,1,4,4,3,
Royalton Saint Lucia,3,LXOUJD,Luxury Junior Suite Ocean View Dc (1 Handicap),36,1 King + Sofa / 2 Queen + Sofa,1,4,4,3,Diamond Club
Royalton Saint Lucia,4,LXUWJ,Luxury Junior Suite Swim Out,40,1 King + Sofa / 2 Queen + Sofa,1,4,4,3,
Royalton Saint Lucia,5,LXUWJD,Luxury Junior Suite Swim Out Dc,10,1 King + Sofa / 2 Queen + Sofa,1,4,4,3,Diamond Club
Royalton Saint Lucia,6,LFUUS,Luxury Family Suite Ocean View,40,1 King + 1 Sofa,1,4,3,3,
Royalton Saint Lucia,7,LFOUSD,Luxury Family Suite Ocean View Dc,8,1 King + 1 Sofa,1,4,3,3,Diamond Club
Royalton Saint Lucia,8,LPOU1,Luxury Presidential One Bedroom Ocean View,3,1 King + 1 Sofa,1,4,3,3,
Royalton Saint Lucia,9,LPOU1D,Luxury Presidential One Bedroom Ocean View Dc,8,1 King + 1 Sofa,1,4,3,3,Diamond Club
Royalton Saint Lucia,10,LPUW1D,Luxury Presidential One Bedroom Swim Out Dc,2,1 King + 1 Sofa,1,4,3,3,Diamond Club
Royalton Saint Lucia,11,PHOJ1D,Luxury Penthouse One Bedroom Suite Ocean View Terrace Jacuzzi Dc,8,1 King + 1 Sofa,1,4,3,3,Diamond Club
Royalton Saint Lucia,12,CMFU2D,Luxury Chairman Two Bedroom Ocean Front Suite Dc,4,1 King + 2 Queen + 1 Sofa,1,8,6,4,Diamond Club
Royalton Saint Lucia,13,CMFW2D,Luxury Chairman Two Bedroom Ocean Front Swim Out Suite Dc,1,1 King + 2 Queen + 1 Sofa,1,8,6,4,Diamond Club
Royalton Antigua,1,LXUUJ,Luxury Junior Suite,76,1 King + Sofa / 2 Queen + Sofa,1,4,4,2,
Royalton Antigua,2,LXOUJ,Luxury Junior Suite Bay View (2 Handicap),124,1 King / 2 Queen,1,4,4,2,
Royalton Antigua,3,LXUUJD,Luxury Junior Suite Dc,20,1 King + Sofa / 2 Queen + Sofa,1,4,4,2,Diamond Club
Royalton Antigua,4,LXOUJD,Luxury Junior Suite Bay View Dc,44,1 King / 2 Queen,1,4,4,2,Diamond Club
Royalton Antigua,5,LXUWJD,Luxury Junior Suite Swim Out Dc,22,1 King / 2 Queen,1,4,4,2,Diamond Club
Royalton Antigua,6,CMUOB,Chairmans Overwater Bungalows Dc,6,1 King,1,2,2,N/A,Diamond Club
Royalton Chic Antigua,1,LQGUR,Luxury Garden View Room,57,2 Queen / 1 King,1,3,3,N/A,
Royalton Chic Antigua,3,LQUUR,Luxury Pool View Room,67,2 Queen / 1 King,1,3,3,N/A,
Royalton Chic Antigua,4,LQOUR,Luxury Ocean View Room,8,2 Queen / 1 King,1,3,3,N/A,
Royalton Chic Antigua,5,LQOURD,Luxury Garden View Room Diamond Club,32,2 Queen / 1 King,1,3,3,N/A,Diamond Club
Royalton Chic Antigua,6,LQFURD,Luxury Beach Front Room Diamond Club,50,2 Queen / 1 King,1,3,3,N/A,Diamond Club
Royalton Chic Antigua,7,LQOWJD,Luxury Junior Suite Beach Front Swim Out Diamond Club,10,2 Queen / 1 King,1,3,3,N/A,Diamond Club
Royalton Chic Antigua,8,LPOU1D,Luxury Presidential Beach Front One Bedroom Suite Diamond Club,5,1 King + 1 Sofa Bed,1,3,3,N/A,Diamond Club
Royalton Chic Antigua,9,LPFU1D,Luxury Presidential Ocean Front One Bedroom Suite Diamond Club,2,1 King + 1 Sofa Bed,1,3,3,N/A,Diamond Club
Royalton Chic Antigua,10,LPFK1D,Luxury Presidential Beach Front Walkout One Bedroom Suite Diamond Club,2,1 King + 1 Sofa Bed,1,3,3,N/A,Diamond Club
Royalton Chic Antigua,11,LPOW1D,Luxury Presidential Beach Front Swim Out One Bedroom Suite Diamond Club,1,1 King + 1 Sofa Bed,1,3,3,N/A,Diamond Club
Royalton Chic Antigua,12,LKUOBD,Luxury Junior Sunset Overwater Suite Diamond Club,4,1 King,1,2,2,N/A,Diamond Club
Royalton Chic Antigua,13,LPUOBD,Luxury Presidential Sunset Overwater Suite Diamond Club,4,1 King,1,2,2,N/A,Diamond Club
Royalton Chic Antigua,14,CMUOBD,Chairman Sunset Overwater Bungalow Two Bedroom Suite Diamond Club,Virtual,2 King,1,4,4,N/A,Diamond Club
Royalton Grenada,1,LXUUR,Luxury Room (2 Handicap),78,1 King / 2 Queen,1,4,4,2,
Royalton Grenada,2,LXUUJ,Luxury Junior Suite,20,1 King + Sofa,1,3,2,2,
Royalton Grenada,3,LXOUR,Luxury Ocean View Room,48,1 King / 2 Queen,1,4,4,2,
Royalton Grenada,4,LXFUR,Luxury Room Ocean Front,38,1 King / 2 Queen,1,4,4,2,
Royalton Grenada,5,LXFKRD,Luxury Room Beach Walkout Diamond Club,17,1 King / 2 Queen,1,3,2,1 (0-2),Diamond Club
Royalton Grenada,6,LXFUJD,Luxury Junior Suite Ocean Front Dc,39,1 King + Sofa / 2 Queen + Sofa,1,4,4,2,Diamond Club
Royalton Grenada,7,LXFWJD,Luxury Junior Suite Ocean Front Swim Out Dc,13,1 King + Sofa / 2 Queen + Sofa,1,4,4,2,Diamond Club
Royalton Grenada,8,LPOU1D,Luxury Presidential Ocean View One Bedroom Suite Dc,10,1 King + Sofa,1,4,3,3,Diamond Club
Royalton Grenada,9,LPOU2D,Luxury Presidential Ocean View Two Bedroom Suite Dc,Virtual,1 King + 2 Queen + 2 Sofa,1,8,6,4,Diamond Club
Royalton Grenada,10,LPFU1D,Luxury Presidential Ocean Front One Bedroom Suite Dc,4,1 King + Sofa,1,4,3,3,Diamond Club
Royalton Grenada,11,LPFU2D,Luxury Presidential Ocean Front Two Bedrooms Suite Dc,Virtual,1 King + 2 Queen + 1 Sofa,1,8,6,4,Diamond Club
Royalton Grenada,12,CMFU2D,Luxury Chairmans Two Bedrooms Suite Ocean Front Dc,1,1 King + 2 Queen + 2 Sofa,1,8,6,4,Diamond Club
Royalton Grenada,13,CMFU3D,Luxury Chairmans Three Bedrooms Ocean Front Suite Dc,Virtual,1 King + 4 Queen + 2 Sofa / 2 King + 2 Queen + 2 Sofa,1,10,8,6,Diamond Club
Royalton Grenada,14,CMFU4D,Luxury Chairmans Four Bedrooms Ocean Front Suite Dc,Virtual,2 King + 4 Queen + 2 Sofa,1,16,12,8,Diamond Club
Royalton Chic Barbados,1,LXUUJ,Luxury Junior Suite (Handicapped),121,2 Queen + Sofa,1,3,3,N/A,
Royalton Chic Barbados,2,LXOUJ,Luxury Junior Suite Ocean View,0,2 Queen + Sofa,1,3,3,N/A,
Royalton Chic Barbados,3,LXUUJD,Luxury Junior Suite Diamond Club,58,2 Queen + Sofa,1,3,3,N/A,Diamond Club
Royalton Chic Barbados,4,LXOUJD,Luxury Junior Suite Ocean View Diamond Club,0,2 Queen + Sofa,1,3,3,N/A,Diamond Club
Royalton Chic Barbados,5,LXUWJ,Luxury Junior Suite Swim Out,18,2 Queen + Sofa,1,3,3,N/A,
Royalton Chic Barbados,6,LXUWJD,Luxury Junior Suite Swim Out Diamond Club,8,2 Queen + Sofa,1,3,3,N/A,Diamond Club
Royalton Chic Barbados,7,LPUU1D,Luxury Presidential One Bedroom Suite Diamond Club,13,1 King + Sofa,1,3,3,N/A,Diamond Club
Royalton Chic Barbados,8,LPOU1D,Luxury Presidential Ocean View One Bedroom Suite Diamond Club,0,1 King + Sofa,1,3,3,N/A,Diamond Club
Royalton Chic Barbados,9,LPFU1D,Luxury Presidential Ocean Front One Bedroom Suite Diamond Club,0,1 King + Sofa,1,3,3,N/A,Diamond Club
Royalton Chic Barbados,10,CMFU2D,Luxury Chairman Ocean Front Two Bedroom Suite Diamond Club,2,1 King + 2 Queen + 1 Sofa,1,4,4,N/A,Diamond Club
Royalton Hideaway Punta Cana,1,LXUUR,Luxury Room,95,1 King + 1 Sofa / 2 Queen,1,4,4,N/A,
Royalton Hideaway Punta Cana,2,LXUURD,Luxury Room Dc,27,1 King + 1 Sofa / 2 Queen,1,4,4,N/A,Diamond Club
Royalton Hideaway Punta Cana,3,LXOURD,Luxury Ocean View Room Dc,22,1 King + 1 Sofa / 2 Queen,1,4,4,N/A,Diamond Club
Royalton Hideaway Punta Cana,4,LXUWRD,Luxury Swim Out Room Dc,20,1 King + 1 Sofa / 2 Queen,1,4,4,N/A,Diamond Club
Royalton Hideaway Punta Cana,5,HMUZSD,Honeymoon Jacuzzi Suite Dc,4,1 King,1,2,2,N/A,Diamond Club
Royalton Punta Cana,1,LXUUR,Luxury Room (2 Handicap),166,1 King + 1 Sofa / 2 Queen,1,4,4,2,
Royalton Punta Cana,2,LXUURD,Luxury Room Dc,95,1 King + 1 Sofa / 2 Queen,1,4,4,2,Diamond Club
Royalton Punta Cana,3,LXOURD,Luxury Ocean View Room Dc,12,1 King + 1 Sofa / 2 Queen,1,4,4,2,Diamond Club
Royalton Punta Cana,4,LXUWRD,Luxury Swim Out Room Dc,25,1 King + 1 Sofa / 2 Queen,1,4,4,2,Diamond Club
Royalton Punta Cana,5,HMFZSD,Honeymoon Jacuzzi Suite Dc,2,1 King,1,2,2,N/A,Diamond Club
Royalton Punta Cana,6,LPUZ1D,Luxury Presidential Jacuzzi One Bedroom Suite Dc,10,1 King + Sofa,1,4,3,3,Diamond Club
Royalton Punta Cana,7,LPUZ2D,Luxury Presidential Jacuzzi Two Bedroom Suite Dc,Virtual,1 King + 2 Queen + Sofa,1,8,6,4,Diamond Club
Royalton Punta Cana,8,LPUY1D,Luxury Presidential Jacuzzi Swim Out One Bedroom Suite Dc,3,1 King + Sofa,1,4,3,3,Diamond Club
Royalton Punta Cana,9,LPUY2D,Luxury Presidential Jacuzzi Swim Out Two Bedroom Suite Dc,Virtual,1 King + 2 Queen + Sofa,1,8,6,4,Diamond Club
Royalton Punta Cana,10,CMFU2D,Luxury Chairman Two Bedroom Suite Ocean Front Suite Dc,2,1 King + 2 Queen + Sofa,1,8,6,4,Diamond Club
Royalton Splash Punta Cana,1,PRUUR,Luxury Room,360,1 King / 2 Queen,1,4,4,2,
Royalton Splash Punta Cana,2,DFUUS,Luxury Family Room,32,1 King + 1 Bunk Bed,1,5,4,3,
Royalton Splash Punta Cana,3,PRUURD,Luxury Room Dc (4 Handicap),79,1 King / 2 Queen,1,4,4,2,Diamond Club
Royalton Splash Punta Cana,4,DFUUSD,Luxury Family Room Diamond Club,16,1 King + 1 Bunk Bed,1,5,4,3,Diamond Club
Royalton Splash Punta Cana,5,PRUZJD,Luxury Jacuzzi Junior Suite Diamond Club,26,1 King / 2 Queen,1,4,4,2,Diamond Club
Royalton Splash Punta Cana,6,PSUZ1D,Luxury Presidential Jacuzzi One Bedroom Suite Diamond Club,12,1 King + Sofa Bed,1,4,3,2,Diamond Club
Royalton Bavaro,1,LXUUJ,Luxury Junior Suite (2 Handicap),299,1 King + Sofa / 2 Queen + Sofa,1,4,4,2,
Royalton Bavaro,2,LXUUJD,Luxury Junior Suite Dc,14,1 King + Sofa / 2 Queen + Sofa,1,4,4,2,Diamond Club
Royalton Bavaro,3,LXOUJ,Luxury Junior Suite Ocean View,32,1 King + Sofa / 2 Queen + Sofa,1,4,4,2,
Royalton Bavaro,4,LXOUJD,Luxury Junior Suite Ocean View Dc,26,1 King + Sofa / 2 Queen + Sofa,1,4,4,2,Diamond Club
Royalton Bavaro,5,LXUWJ,Luxury Junior Suite Swim Out (3 Handicap),148,1 King + Sofa / 2 Queen + Sofa,1,4,4,2,
Royalton Bavaro,6,LXUWJD,Luxury Junior Suite Swim Out Dc,44,1 King + Sofa / 2 Queen + Sofa,1,4,4,2,Diamond Club
Royalton Bavaro,7,LFUUS,Luxury Family Suite,71,1 King + 1 Sofa,1,4,3,3,
Royalton Bavaro,8,LFOUSD,Luxury Family Suite Ocean View Dc,28,1 King + 1 Sofa,1,4,3,3,Diamond Club
Royalton Bavaro,9,LPUU1,Luxury Presidential One Bedroom Suite,47,1 King + 1 Sofa,1,4,3,3,
Royalton Bavaro,10,LPUU2,Luxury Presidential Two Bedroom Suite,Virtual,1 King + 2 Queen + 3 Sofa,1,8,6,4,
Royalton Bavaro,11,LPUU1D,Luxury Presidential One Bedroom Suite Dc,16,1 King + 1 Sofa,1,4,3,3,Diamond Club
Royalton Bavaro,12,LPUU2D,Luxury Presidential Two Bedroom Suite Dc,Virtual,1 King + 2 Queen + 2 Sofa,1,8,6,4,Diamond Club
Royalton Bavaro,13,CMFU2D,Luxury Chairman'S Two Bedroom Suite Ocean Front Dc,3,1 King + 2 Queen,1,6,6,4,Diamond Club
Royalton Bavaro,14,CMFU3D,Luxury Chairman'S Three Bedroom Suite Ocean Front Dc,Virtual,2 King + 2 Queen + 1 Sofa / 1 King + 4 Queen + 1 Sofa,1,10,8,6,Diamond Club
Royalton Bavaro,15,CMFU4D,Luxury Chairman'S Four Bedroom Suite Ocean Front Dc,Virtual,,1,12,12,8,Diamond Club
Royalton Bavaro,16,CMUW2D,Luxury Chairman'S Two Bedroom Suite Swim Out Dc,1,1 King + 2 Queen,1,6,6,4,Diamond Club
Royalton Bavaro,17,CMUW3D,Luxury Chairman'S Three Bedroom Swim Out Front Dc,Virtual,\ 1 King,1,10,8,6,Diamond Club
Royalton Bavaro,18,CMUW4D,Luxury Chairman'S Four Bedroom Swim Out Front Dc,Virtual,,1,12,12,8,Diamond Club
Royalton Chic Punta Cana,1,LXUUR,Luxury Room,192,1 King,1,2,2,N/A,
Royalton Chic Punta Cana,2,LXUUJ,Luxury Junior Suite (1 Handicap),28,2 Queen,1,4,4,N/A,
Royalton Chic Punta Cana,3,LXOUJD,Luxury Junior Suite Ocean View Dc,47,2 Queen / 1 King,1,4,4,N/A,Diamond Club
Royalton Chic Punta Cana,4,LXUWJD,Luxury Junior Suite Swim Out Dc,26,1 King / 2 Queen,1,2,2,N/A,Diamond Club
Royalton Chic Punta Cana,5,LPUU1D,Luxury Presidential One Bedroom Suite Dc,23,1 King,1,2,2,N/A,Diamond Club
Royalton Chic Punta Cana,6,LPFT1D,Luxury Presidential Ocean Front Terrace One Bedroom Suite Dc,1,1 King,1,2,2,N/A,Diamond Club
Royalton Chic Punta Cana,7,LPFW1D,Luxury Presidential Ocean Front Swim Out One Bedroom Suite Dc,1,1 King,1,2,2,N/A,Diamond Club
Royalton Chic Punta Cana,8,MNUU6D,The Mansion,1,5 King + 2 Queen,1,12,12,N/A,The Mansion
Royalton Riviera Cancun,1,LXUUJ,Luxury Junior Suite (5 Handicap),294,1 King + Sofa / 2 Queen + Sofa,1,4,4,3,
Royalton Riviera Cancun,2,LXUZS,Luxury Suite With Terrace Jacuzzi,61,1 King + Sofa / 2 Queen + Sofa,1,4,4,3,
Royalton Riviera Cancun,3,LXOUJ,Luxury Junior Suite Ocean View,75,1 King + Sofa / 2 Queen + Sofa,1,4,4,3,
Royalton Riviera Cancun,4,LXOUJD,Luxury Junior Suite Ocean View Dc,40,1 King + Sofa / 2 Queen + Sofa,1,4,4,3,Diamond Club
Royalton Riviera Cancun,5,LXOZS,Luxury Suite Ocean View With Terrace Jacuzzi,60,1 King + Sofa / 2 Queen + Sofa,1,4,4,3,
Royalton Riviera Cancun,6,LXOZSD,Luxury Suite Ocean View With Terrace Jacuzzi Dc,64,1 King + Sofa / 2 Queen + Sofa,1,4,4,3,Diamond Club
Royalton Riviera Cancun,7,LXUWJ,Luxury Junior Suite Swim Out,69,1 King + Sofa / 2 Queen + Sofa,1,4,4,3,
Royalton Riviera Cancun,8,LXUWJD,Luxury Junior Suite Swim Out Dc,40,1 King + Sofa / 2 Queen + Sofa,1,4,4,3,Diamond Club
Royalton Riviera Cancun,9,LFOUS,Luxury Family Suite Ocean View,31,1 King + 1 Sofa,1,4,3,3,
Royalton Riviera Cancun,10,LFOUSD,Luxury Family Suite Ocean View Dc,17,1 King + 1 Sofa,1,4,3,3,Diamond Club
Royalton Riviera Cancun,11,LPUU1D,Luxury Presidential One Bedroom Suite Dc,15,1 King + 1 Sofa,1,4,3,3,Diamond Club
Royalton Riviera Cancun,12,LPOU1,Luxury Presidential One Bedroom Suite Ocean View,21,1 King + 1 Sofa,1,4,3,3,
Royalton Riviera Cancun,13,LPOU2,Luxury Presidential Two Bedroom Suite Ocean View,Virtual,1 King + 2 Queen + 1 Sofa,1,8,6,4,
Royalton Riviera Cancun,14,LPOZ1D,Luxury Presidential One Bedroom Suite Ocean View Dc,23,1 King + 1 Sofa,1,4,3,3,Diamond Club
Royalton Riviera Cancun,15,LPOZ2D,Luxury Presidential Two Bedroom Suite Ocean View Dc,Virtual,1 King + 2 Queen + 1 Sofa,1,8,6,4,Diamond Club
Royalton Riviera Cancun,16,LPUW1,Luxury Presidential One Bedroom Suite Swim Out,7,1 King + 1 Sofa,1,4,3,3,
Royalton Riviera Cancun,17,LPUW2,Luxury Presidential Two Bedroom Suite Swim Out,Virtual,1 King + 2 Queen + 1 Sofa,1,8,6,4,
Royalton Riviera Cancun,18,LPUW1D,Luxury Presidential One Bedroom Suite Swim Out Dc,9,1 King + 1 Sofa,1,4,3,3,Diamond Club
Royalton Riviera Cancun,19,LPUW2D,Luxury Presidential Two Bedroom Suite Swim Out Dc,Virtual,1 King + 2 Queen + 1 Sofa,1,8,6,4,Diamond Club
Royalton Riviera Cancun,20,LPOR1,Luxury Presidential One Bedroom Suite Ocean View Rooftop Pool,4,1 King + 1 Sofa,1,4,3,3,
Royalton Riviera Cancun,21,CMFU2D,Luxury Chairman´S Two Bedroom Suite Ocean Front Dc,3,1 King + 2 Queen + 1 Sofa,1,8,6,4,Diamond Club
Royalton Riviera Cancun,22,CMFU3D,Luxury Chairman´S Three Bedroom Suite Ocean Front Dc,Virtual,1 King + 4 Queen + 1 Sofa,1,12,10,6,Diamond Club
Royalton Hideaway Riviera Cancun,1,LXUUJ,Luxury Junior Suite,132,1 King + Sofa / 2 Queen + Sofa,1,4,4,N/A,
Royalton Hideaway Riviera Cancun,2,LXUUJD,Luxury Junior Suite Dc,32,1 King + Sofa / 2 Queen + Sofa,1,4,4,N/A,Diamond Club
Royalton Hideaway Riviera Cancun,3,LXUZS,Luxury Suite With Terrace Jacuzzi,44,1 King + Sofa / 2 Queen + Sofa,1,4,4,N/A,
Royalton Hideaway Riviera Cancun,4,LXOUJ,Luxury Junior Suite Ocean View,15,1 King + Sofa / 2 Queen + Sofa,1,4,4,N/A,
Royalton Hideaway Riviera Cancun,5,LXOUJD,Luxury Junior Suite Ocean View Dc,12,1 King + Sofa / 2 Queen + Sofa,1,4,4,N/A,Diamond Club
Royalton Hideaway Riviera Cancun,6,LXOZS,Luxury Suite Ocean View With Terrace Jacuzzi,21,1 King + Sofa / 2 Queen + Sofa,1,4,4,N/A,
Royalton Hideaway Riviera Cancun,7,LXOZSD,Luxury Suite Ocean View With Terrace Jacuzzi Dc,28,1 King + Sofa / 2 Queen + Sofa,1,4,4,N/A,Diamond Club
